dest	src	jobid	port	bucket	rule
logs/ppo/v22/ppo_v22_s0.log	ppo_v22_s0.log			v22	ppo:filename
logs/ppo/v22/ppo_v22_s1.log	ppo_v22_s1.log			v22	ppo:filename
logs/ppo/v22/ppo_v22_s2.log	ppo_v22_s2.log			v22	ppo:filename
logs/ppo/v23a/ppo_v23a_s0.log	ppo_v23a_s0.log			v23a	ppo:filename
logs/ppo/v23a/ppo_v23a_s1.log	ppo_v23a_s1.log			v23a	ppo:filename
logs/ppo/v23a/ppo_v23a_s2.log	ppo_v23a_s2.log			v23a	ppo:filename
logs/ppo/v23b/ppo_v23b_s0.log	ppo_v23b_s0.log			v23b	ppo:filename
logs/ppo/v23b/ppo_v23b_s1.log	ppo_v23b_s1.log			v23b	ppo:filename
logs/ppo/v23b/ppo_v23b_s2.log	ppo_v23b_s2.log			v23b	ppo:filename
logs/ppo/v24a/ppo_v24a_s0.log	ppo_v24a_s0.log			v24a	ppo:filename
logs/ppo/v24a/ppo_v24a_s1.log	ppo_v24a_s1.log			v24a	ppo:filename
logs/ppo/v24a/ppo_v24a_s2.log	ppo_v24a_s2.log			v24a	ppo:filename
logs/ppo/v24b/ppo_v24b_s0.log	ppo_v24b_s0.log			v24b	ppo:filename
logs/ppo/v24b/ppo_v24b_s1.log	ppo_v24b_s1.log			v24b	ppo:filename
logs/ppo/v24b/ppo_v24b_s2.log	ppo_v24b_s2.log			v24b	ppo:filename
logs/ppo/v24c/ppo_v24c_s0.log	ppo_v24c_s0.log			v24c	ppo:filename
logs/ppo/v24c/ppo_v24c_s1.log	ppo_v24c_s1.log			v24c	ppo:filename
logs/ppo/v24c/ppo_v24c_s2.log	ppo_v24c_s2.log			v24c	ppo:filename
logs/ppo/v24d/ppo_v24d_s0.log	ppo_v24d_s0.log			v24d	ppo:filename
logs/ppo/v24d/ppo_v24d_s1.log	ppo_v24d_s1.log			v24d	ppo:filename
logs/ppo/v24d/ppo_v24d_s2.log	ppo_v24d_s2.log			v24d	ppo:filename
logs/ppo/v25a/ppo_v25a_s0.log	ppo_v25a_s0.log			v25a	ppo:filename
logs/ppo/v25a/ppo_v25a_s1.log	ppo_v25a_s1.log			v25a	ppo:filename
logs/ppo/v25a/ppo_v25a_s2.log	ppo_v25a_s2.log			v25a	ppo:filename
logs/ppo/v25b/ppo_v25b_s0.log	ppo_v25b_s0.log			v25b	ppo:filename
logs/ppo/v25b/ppo_v25b_s1.log	ppo_v25b_s1.log			v25b	ppo:filename
logs/ppo/v25b/ppo_v25b_s2.log	ppo_v25b_s2.log			v25b	ppo:filename
logs/ppo/v25c/ppo_v25c_s0.log	ppo_v25c_s0.log			v25c	ppo:filename
logs/ppo/v25c/ppo_v25c_s1.log	ppo_v25c_s1.log			v25c	ppo:filename
logs/ppo/v25c/ppo_v25c_s2.log	ppo_v25c_s2.log			v25c	ppo:filename
logs/showdown/b22-stageA/showdown_7114667_1.log	showdown_7114667_1.log	7114667	8101	b22-stageA	showdown:jobid
logs/showdown/b22-stageA/showdown_7114668_0.log	showdown_7114668_0.log	7114668	8100	b22-stageA	showdown:port+mtime<-slurm-lg-b22-stageA-7114667_0.out
logs/showdown/b22-stageA/showdown_7114674_1.log	showdown_7114674_1.log	7114674	8101	b22-stageA	showdown:jobid
logs/showdown/b22-stageA/showdown_7114675_0.log	showdown_7114675_0.log	7114675	8100	b22-stageA	showdown:port+mtime<-slurm-lg-b22-stageA-7114667_0.out
logs/showdown/b22-stageB0/showdown_7141999_2.log	showdown_7141999_2.log	7141999	8102	b22-stageB0	showdown:jobid
logs/showdown/b22-stageB0/showdown_7142000_0.log	showdown_7142000_0.log	7142000	8100	b22-stageB0	showdown:port+mtime<-slurm-lg-b22-stageB0-7141999_0.out
logs/showdown/b22-stageB0/showdown_7142001_1.log	showdown_7142001_1.log	7142001	8101	b22-stageB0	showdown:port+mtime<-slurm-lg-b22-stageB0-7141999_1.out
logs/showdown/probe-rep/showdown_7172540_0.log	showdown_7172540_0.log	7172540	8200	probe-rep	showdown:jobid
logs/showdown/strength/showdown_7180385_0.log	showdown_7180385_0.log	7180385	8100	strength	showdown:jobid
logs/showdown/strength/showdown_7182357_0.log	showdown_7182357_0.log	7182357	8100	strength	showdown:jobid
logs/showdown/strength/showdown_7186606_0.log	showdown_7186606_0.log	7186606	8100	strength	showdown:jobid
